linear: 	 0 	 0.23 (0.01) 	 0.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 3 	 1.66 (0.07) 	 1.20 (0.09) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 5 	 2.29 (0.11) 	 1.20 (0.09) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 10 	 5.77 (0.48) 	 1.40 (0.13) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 5 	 5.89 (1.98) 	 2.60 (0.83) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 10 	 7.20 (0.94) 	 2.35 (0.29) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 20 	 33.55 (7.48) 	 6.15 (0.79) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 50 	 110.24 (32.43) 	 6.47 (1.39) 	 3 	 0.007 (0.001) 	 13.67 (0.88) 
rf: 	 100 	 274.09 (71.93) 	 8.87 (1.49) 	 5 	 0.004 (0.002) 	 10.60 (3.56) 
gbm: 	 5 	 2.76 (0.22) 	 1.85 (0.17) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 10 	 2.72 (0.29) 	 1.50 (0.24) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 20 	 4.25 (0.45) 	 2.15 (0.28) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 50 	 24.60 (8.21) 	 5.85 (1.41) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 100 	 164.32 (42.12) 	 11.63 (2.00) 	 1 	 0.004 (nan) 	 29.00 (nan) 
mlp: 	 (10,) 	 1.55 (0.06) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (10, 10, 10) 	 2.40 (0.12) 	 1.15 (0.08) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (50,) 	 2.09 (0.12) 	 1.05 (0.05) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (100,) 	 4.36 (0.62) 	 1.10 (0.07) 	 0 	 nan (nan) 	 nan (nan) 
