Tree_id,ID,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,threshold,prediction,node_ID
0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.152482271194458,0.09615384615384616,0.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15833333879709244,0.09615384615384616,1.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07500000298023224,0.09615384615384616,2.0
0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.152482271194458,0.24545454545454545,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15833333879709244,0.24545454545454545,1.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.07501000298023223,0.24545454545454545,2.0
0,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.152482271194458,0.1864406779661017,0.0
0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.15834333879709245,0.1864406779661017,1.0
0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4150521606206894,0.1864406779661017,5.0
0,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.152482271194458,0.5154639175257731,0.0
0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.15834333879709245,0.5154639175257731,1.0
0,4,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.4150621606206894,0.5154639175257731,5.0
0,5,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-0.15249227119445802,0.03571428571428571,0.0
0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7989949882030487,0.03571428571428571,8.0
0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4150521606206894,0.03571428571428571,9.0
0,6,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-0.15249227119445802,0.4957983193277311,0.0
0,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7989949882030487,0.4957983193277311,8.0
0,6,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.4150621606206894,0.4957983193277311,9.0
0,7,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-0.15249227119445802,0.9722222222222222,0.0
0,7,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7990049882030487,0.9722222222222222,8.0
0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23270708322525024,0.9722222222222222,12.0
0,8,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,-0.15249227119445802,0.6428571428571429,0.0
0,8,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7990049882030487,0.6428571428571429,8.0
0,8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.23271708322525025,0.6428571428571429,12.0
1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.3484848439693451,0.07738095238095238,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07500000298023224,0.07738095238095238,1.0
1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882593989372,0.07738095238095238,2.0
1,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.3484848439693451,0.24528301886792453,0.0
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07500000298023224,0.24528301886792453,1.0
1,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14706882593989373,0.24528301886792453,2.0
1,3,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.3484848439693451,0.30633802816901406,0.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.07501000298023223,0.30633802816901406,1.0
1,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7311557829380035,0.30633802816901406,5.0
1,4,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.3484848439693451,0.76,0.0
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.07501000298023223,0.76,1.0
1,4,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7311657829380035,0.76,5.0
1,5,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-0.3484948439693451,0.32653061224489793,0.0
1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3235294222831726,0.32653061224489793,8.0
1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11406619474291801,0.32653061224489793,9.0
1,6,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-0.3484948439693451,0.625,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3235294222831726,0.625,8.0
1,6,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.11407619474291801,0.625,9.0
1,7,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-0.3484948439693451,0.48148148148148145,0.0
1,7,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3235394222831726,0.48148148148148145,8.0
1,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13120567053556442,0.48148148148148145,12.0
1,8,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-0.3484948439693451,0.9565217391304348,0.0
1,8,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3235394222831726,0.9565217391304348,8.0
1,8,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.13121567053556443,0.9565217391304348,12.0
2,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4448584169149399,0.0,0.0
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10833333432674408,0.0,1.0
2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05496453866362572,0.0,2.0
2,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4448584169149399,0.02531645569620253,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10833333432674408,0.02531645569620253,1.0
2,2,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.05497453866362572,0.02531645569620253,2.0
2,3,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4448584169149399,0.07407407407407407,0.0
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.10834333432674408,0.07407407407407407,1.0
2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5040983557701111,0.07407407407407407,5.0
2,4,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.4448584169149399,0.34074074074074073,0.0
2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.10834333432674408,0.34074074074074073,1.0
2,4,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.504108355770111,0.34074074074074073,5.0
2,5,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,-0.4448684169149399,0.1958041958041958,0.0
2,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6507537662982941,0.1958041958041958,8.0
2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14166667312383652,0.1958041958041958,9.0
2,6,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,-0.4448684169149399,0.3898305084745763,0.0
2,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6507537662982941,0.3898305084745763,8.0
2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.14167667312383653,0.3898305084745763,9.0
2,7,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,-0.4448684169149399,0.5789473684210527,0.0
2,7,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.650763766298294,0.5789473684210527,8.0
2,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7763819098472595,0.5789473684210527,12.0
2,8,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,-0.4448684169149399,0.8888888888888888,0.0
2,8,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.650763766298294,0.8888888888888888,8.0
2,8,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7763919098472595,0.8888888888888888,12.0
3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38235294818878174,0.4144736842105263,0.0
3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3585858643054962,0.4144736842105263,1.0
3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.035353533923625946,0.4144736842105263,2.0
3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38235294818878174,0.22327044025157233,0.0
3,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3585858643054962,0.22327044025157233,1.0
3,2,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.03536353392362595,0.22327044025157233,2.0
3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38235294818878174,0.4915254237288136,0.0
3,3,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.3585958643054962,0.4915254237288136,1.0
3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5555555522441864,0.4915254237288136,5.0
3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38235294818878174,0.8333333333333334,0.0
3,4,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.3585958643054962,0.8333333333333334,1.0
3,4,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.5555655522441864,0.8333333333333334,5.0
3,5,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38236294818878175,0.041666666666666664,0.0
3,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.40909090638160706,0.041666666666666664,8.0
3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49166667461395264,0.041666666666666664,9.0
3,6,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38236294818878175,0.5454545454545454,0.0
3,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.40909090638160706,0.5454545454545454,8.0
3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.49167667461395265,0.5454545454545454,9.0
3,7,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38236294818878175,0.8421052631578947,0.0
