ID,node_ID,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Age,threshold,prediction
1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6407034993171692,0.013245033112582781
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1250000037252903,0.013245033112582781
1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6766020953655243,0.013245033112582781
1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4612518697977066,0.013245033112582781
2,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6407034993171692,0.15517241379310345
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1250000037252903,0.15517241379310345
2,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6766020953655243,0.15517241379310345
2,3,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.4612618697977066,0.15517241379310345
3,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6407034993171692,1.0
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1250000037252903,1.0
3,2,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.6766120953655242,1.0
3,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.26046114414930344,1.0
4,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6407034993171692,0.0
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1250000037252903,0.0
4,2,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.6766120953655242,0.0
4,6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.26047114414930345,0.0
5,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6407034993171692,1.0
5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.1250100037252903,1.0
5,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3926974684000015,1.0
5,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14381520450115204,1.0
6,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6407034993171692,0.0
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.1250100037252903,0.0
6,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3926974684000015,0.0
6,10,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.14382520450115205,0.0
7,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6407034993171692,0.18181818181818182
7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.1250100037252903,0.18181818181818182
7,9,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.39270746840000154,0.18181818181818182
7,13,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.18181818181818182
8,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6407034993171692,0.5
8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.1250100037252903,0.5
8,9,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.39270746840000154,0.5
8,13,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,-0.50001,0.5
9,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,-0.6407134993171691,0.21428571428571427
9,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.44634874165058136,0.21428571428571427
9,17,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7311557829380035,0.21428571428571427
9,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1566193848848343,0.21428571428571427
10,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,-0.6407134993171691,0.0
10,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.44634874165058136,0.0
10,17,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7311557829380035,0.0
10,18,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.1566293848848343,0.0
11,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,-0.6407134993171691,0.0
11,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.44634874165058136,0.0
11,17,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,-0.7311657829380035,0.0
11,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07500000111758709,0.0
12,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,-0.6407134993171691,0.5806451612903226
12,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.44634874165058136,0.5806451612903226
12,17,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,-0.7311657829380035,0.5806451612903226
12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.07501000111758709,0.5806451612903226
13,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,-0.6407134993171691,0.46
13,16,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.44635874165058137,0.46
13,24,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7914572954177856,0.46
13,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15833333879709244,0.46
14,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,-0.6407134993171691,0.7230769230769231
14,16,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.44635874165058137,0.7230769230769231
14,24,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7914572954177856,0.7230769230769231
14,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.15834333879709245,0.7230769230769231
15,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,-0.6407134993171691,0.8876404494382022
15,16,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.44635874165058137,0.8876404494382022
15,24,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,-0.7914672954177856,0.8876404494382022
15,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7440898418426514,0.8876404494382022
