linear: 	 0 	 0.13 (0.00) 	 0.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 3 	 1.00 (0.06) 	 1.70 (0.15) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 5 	 1.18 (0.11) 	 1.80 (0.22) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 10 	 2.22 (0.41) 	 2.95 (0.61) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 5 	 2.85 (0.47) 	 3.25 (0.54) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 10 	 13.51 (3.03) 	 8.95 (1.60) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 20 	 13.86 (3.58) 	 5.53 (0.92) 	 1 	 0.041 (nan) 	 3.00 (nan) 
rf: 	 50 	 101.21 (24.90) 	 11.37 (1.53) 	 1 	 0.048 (nan) 	 40.00 (nan) 
rf: 	 100 	 156.28 (33.21) 	 8.70 (1.02) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 5 	 1.57 (0.15) 	 1.75 (0.24) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 10 	 4.84 (0.58) 	 3.55 (0.46) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 20 	 12.72 (2.22) 	 8.28 (0.85) 	 2 	 0.038 (0.001) 	 10.00 (2.00) 
gbm: 	 50 	 73.23 (27.00) 	 13.76 (1.82) 	 3 	 0.039 (0.006) 	 32.67 (17.07) 
gbm: 	 100 	 274.22 (51.40) 	 17.25 (1.57) 	 4 	 0.040 (0.004) 	 36.00 (3.56) 
mlp: 	 (10,) 	 0.90 (0.01) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (10, 10, 10) 	 1.48 (0.03) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (50,) 	 1.39 (0.06) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (100,) 	 1.83 (0.05) 	 1.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
