linear: 	 0 	 0.14 (0.00) 	 0.00 (0.00) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 3 	 1.02 (0.07) 	 1.30 (0.15) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 5 	 1.33 (0.10) 	 1.60 (0.18) 	 0 	 nan (nan) 	 nan (nan) 
cart: 	 10 	 3.68 (2.14) 	 2.95 (1.49) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 5 	 2.27 (0.19) 	 2.35 (0.23) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 10 	 7.41 (1.22) 	 5.15 (0.67) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 20 	 47.44 (26.35) 	 9.50 (2.52) 	 0 	 nan (nan) 	 nan (nan) 
rf: 	 50 	 307.72 (72.52) 	 19.31 (3.15) 	 7 	 0.044 (0.002) 	 34.57 (4.54) 
rf: 	 100 	 156.45 (116.11) 	 5.75 (2.29) 	 16 	 0.029 (0.004) 	 20.69 (1.64) 
gbm: 	 5 	 1.97 (0.32) 	 2.65 (0.50) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 10 	 11.76 (6.51) 	 8.85 (3.27) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 20 	 19.20 (6.32) 	 9.45 (1.80) 	 0 	 nan (nan) 	 nan (nan) 
gbm: 	 50 	 139.18 (56.80) 	 16.31 (3.03) 	 7 	 0.023 (0.005) 	 41.43 (9.01) 
gbm: 	 100 	 537.13 (295.04) 	 15.00 (2.08) 	 17 	 0.022 (0.003) 	 22.29 (1.79) 
mlp: 	 (10,) 	 2.96 (0.23) 	 3.00 (0.25) 	 0 	 nan (nan) 	 nan (nan) 
mlp: 	 (50,) 	 19.06 (6.63) 	 2.37 (0.24) 	 1 	 0.049 (nan) 	 3.00 (nan) 
mlp: 	 (10, 10, 10) 	 229.69 (104.80) 	 4.90 (0.67) 	 10 	 0.039 (0.005) 	 10.30 (2.68) 
mlp: 	 (100,) 	 289.62 (125.61) 	 2.70 (0.30) 	 10 	 0.000 (0.000) 	 0.60 (0.16) 
